date,sp500,monthly_return,monthly_volatility,hist_var95,hist_var99,hist_es95,hist_es99,rolling_volatility,rolling_skewness,rolling_kurtosis,trading_days
2012-02-29,1365.6800537109375,0.04058946376811745,0.08459834272482426,-0.02515781265262724,-0.045383079960870015,-0.03610874194916568,-0.054526207789576724,0.23152887385577633,-0.5414718944729197,3.1476396188683737,20
2012-03-31,1408.469970703125,0.03133231453144192,0.1152005914530353,-0.02515781265262724,-0.045383079960870015,-0.03610874194916568,-0.054526207789576724,0.22943678966895423,-0.5558285219321157,3.359499754761688,22
2012-04-30,1397.9100341796875,-0.007497452372496216,0.14682387086088464,-0.02515781265262724,-0.045383079960870015,-0.03610874194916568,-0.054526207789576724,0.23162689559562083,-0.5154948703081851,3.1201040909964575,20
2012-05-31,1310.3299560546875,-0.06265072571454355,0.12556614797495189,-0.02515781265262724,-0.045383079960870015,-0.03610874194916568,-0.054526207789576724,0.2317103709260579,-0.4832527354260004,3.0876842705889778,22
2012-06-30,1362.1600341796875,0.03955498222833631,0.20590301862280774,-0.02515781265262724,-0.045383079960870015,-0.03610874194916568,-0.054526207789576724,0.2352668078543568,-0.4855578582575191,2.8409118588966,21
2012-07-31,1379.3199462890625,0.012597574204787687,0.1389762967194745,-0.02515781265262724,-0.045383079960870015,-0.03610874194916568,-0.054526207789576724,0.23456553358771995,-0.4985274028731814,2.9189057098300735,21
2012-08-31,1406.5799560546875,0.019763369506086148,0.08989128598854057,-0.021115332246900948,-0.029337625073632564,-0.027001069644043585,-0.033206266315121774,0.18942157550176633,-0.05516921715557267,1.1562408181559902,23
2012-09-30,1440.6700439453125,0.024236153617775313,0.1184679365065419,-0.01707153096797215,-0.026785179198802866,-0.0239974426080339,-0.03152966987478922,0.1748989473315599,0.11854550567363199,1.5887472053638643,19
2012-10-31,1412.1600341796875,-0.01978940971629417,0.10727836340718662,-0.016171474389547174,-0.024998982801683407,-0.021899323336480456,-0.030258007777853452,0.15589065777217553,0.08426078324413813,2.3124565878803884,21
2012-11-30,1416.1800537109375,0.0028467166850427716,0.15509616720211866,-0.01416926193153896,-0.021929406474828394,-0.01798420841774998,-0.023818329258980708,0.14009381108727537,0.44063152518478643,2.350031771402078,21
2012-12-31,1426.18994140625,0.007068230956284394,0.1167652475909761,-0.012619597635711344,-0.01981827490121893,-0.0172345475257515,-0.023818329258980708,0.12756773299774138,0.036911996408968986,0.8465558700640388,20
2013-01-31,1498.1099853515625,0.05042809646686841,0.09878682130615936,-0.012619597635711344,-0.01981827490121893,-0.0172345475257515,-0.023818329258980708,0.1280241839122527,0.10824961508574843,1.0671064716009406,21
2013-02-28,1514.6800537109375,0.011060648765041536,0.13179583262168812,-0.013262224798418008,-0.020455902558089108,-0.017679074584934066,-0.023818329258980708,0.1306998345335202,0.06945467786123832,0.8942152084380094,19
2013-03-31,1569.18994140625,0.03598772398287298,0.07466653215577757,-0.012619597635711344,-0.020455902558089108,-0.01746452979169229,-0.023818329258980708,0.12817281411473913,0.04648046991215888,1.0354545036439684,20
2013-04-30,1597.5699462890625,0.018085767779889794,0.14188447498790066,-0.013262224798418008,-0.022866457203200206,-0.018059605879673982,-0.024058634714643534,0.1282067884204638,-0.06542392608941118,1.1959344046812341,22
2013-05-31,1630.739990234375,0.020762811683057603,0.10934864652940154,-0.012580132003433693,-0.022866457203200206,-0.017726237234294263,-0.024058634714643534,0.12667589119674996,-0.12841756314580471,1.2773352493203534,22
